Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
"$92,500 IN CASH PAID FOR HOTEL IN ENGLEWOOD",,176364352,Historical Newspapers,," Copyright Tribune Publishing Company Feb 18, 1940"," 494910112 , 6136902 , 53854", article," Feb 18, 1940",, English, English, 18," Chicago, Ill.","Feb 18, 1940",Chicago Daily Tribune (1923-1963),1940,http://search.proquest.com/docview/176364352?accountid=14496, 18,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=%2492%2C500+IN+CASH+PAID+FOR+HOTEL+IN+ENGLEWOOD&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1940-02-18&amp;volume=&amp;issue=&amp;spage=18&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Installing Small Kitchens,,105261965,Historical Newspapers,," Copyright New York Times Company Jun 16, 1940"," 121428185 , 1683478 , 43896", article," Jun 16, 1940",0362-4331, English, English,," New York, N.Y.","Jun 16, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105261965?accountid=14496, RE9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=Installing+Small+Kitchens&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-06-16&amp;volume=&amp;issue=&amp;spage=RE9&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
"Quantico, Norfolk To Get Steel Houses From Navy",,151221893,Historical Newspapers,," Copyright The Washington Post Company Dec 29, 1940"," 216970462 , 1946312 , 48614", article," Dec 29, 1940",, English, English,," Washington, D.C.","Dec 29, 1940",The Washington Post (1923-1954),1940,http://search.proquest.com/docview/151221893?accountid=14496, 6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Quantico%2C+Norfolk+To+Get+Steel+Houses+From+Navy&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1940-12-29&amp;volume=&amp;issue=&amp;spage=6&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
"PORTER KILLED, 6 OTHERS HURT IN CLUB BLAZE",,176528913,Historical Newspapers,," Copyright Tribune Publishing Company Feb 12, 1941"," 467081502 , 6063512 , 53854", article," Feb 12, 1941",, English, English,," Chicago, Ill.","Feb 12, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176528913?accountid=14496, 22,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=PORTER+KILLED%2C+6+OTHERS+HURT+IN+CLUB+BLAZE&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-02-12&amp;volume=&amp;issue=&amp;spage=22&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
"INSPECTOR STAFF INADEQUATE, FIRE INQUESTS TOLD",,176521674,Historical Newspapers,," Copyright Tribune Publishing Company Feb 15, 1941"," 467091552 , 6063542 , 53854", article," Feb 15, 1941",, English, English,," Chicago, Ill.","Feb 15, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176521674?accountid=14496, 17,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=INSPECTOR+STAFF+INADEQUATE%2C+FIRE+INQUESTS+TOLD&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-02-15&amp;volume=&amp;issue=&amp;spage=17&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
JURY ASKS PROBE OF BUILDING FIRE IN WHICH 2 DIED,,176634730,Historical Newspapers,," Copyright Tribune Publishing Company Mar 1, 1941"," 467125642 , 6063662 , 53854", article," Mar 1, 1941",, English, English,," Chicago, Ill.","Mar 1, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176634730?accountid=14496, 5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=JURY+ASKS+PROBE+OF+BUILDING+FIRE+IN+WHICH+2+DIED&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-03-01&amp;volume=&amp;issue=&amp;spage=5&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
OFFICERS MOVE IN FORT HUACHUCA HOMES,"FT. HUACHUCA Ariz.-- Negro non-commissioned officers attached to the Twenty-fifth and 368th Infantry regiments here, are now occupying the newly completed defense housing at the army reservation, John M. Carmody, Federal Works...",492623370,Historical Newspapers,," Copyright Real Times, Inc. Mar 15, 1941"," 740908102 , 7289142 , 68419", article," Mar 15, 1941",, English, English, 8," Chicago, Ill.","Mar 15, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492623370?accountid=14496, 8,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=OFFICERS+MOVE+IN+FORT+HUACHUCA+HOMES%3A+NON-COMS+AND+FAMILIES+SET+UP+HOUSE-KEEP+OCCUPY+NEWLY+COMPLETED+ADOBE-STYLE+FLATS+ON+ARMY+RESERVATION&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-03-15&amp;volume=&amp;issue=&amp;spage=8&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
"Housing Registry Shows Apartment, Small-House Lack",,151385822,Historical Newspapers,," Copyright The Washington Post Company Mar 23, 1941"," 239357842 , 2024062 , 48614", article," Mar 23, 1941",, English, English, 12," Washington, D.C.","Mar 23, 1941",The Washington Post (1923-1954),1941,http://search.proquest.com/docview/151385822?accountid=14496, 12,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Housing+Registry+Shows+Apartment%2C+Small-House+Lack&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1941-03-23&amp;volume=&amp;issue=&amp;spage=12&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
ALDERMEN URGE DEPARTMENT OF HOUSING FOR CITY,,176479413,Historical Newspapers,," Copyright Tribune Publishing Company Apr 15, 1941"," 467241862 , 6064042 , 53854", article," Apr 15, 1941",, English, English,," Chicago, Ill.","Apr 15, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176479413?accountid=14496, 12,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=ALDERMEN+URGE+DEPARTMENT+OF+HOUSING+FOR+CITY&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-04-15&amp;volume=&amp;issue=&amp;spage=12&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
"Pretty, Practical Aprons",,176628743,Historical Newspapers,," Copyright Tribune Publishing Company Aug 18, 1941"," 467592402 , 6066972 , 53854", article," Aug 18, 1941",, English, English,," Chicago, Ill.","Aug 18, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176628743?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Pretty%2C+Practical+Aprons&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-08-18&amp;volume=&amp;issue=&amp;spage=14&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Insurance Company Sells Uptown Apartment Hotel,,176700271,Historical Newspapers,," Copyright Tribune Publishing Company Nov 9, 1941"," 517693392 , 6268002 , 53854", article," Nov 9, 1941",, English, English, 25," Chicago, Ill.","Nov 9, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176700271?accountid=14496, 25,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Insurance+Company+Sells+Uptown+Apartment+Hotel&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-11-09&amp;volume=&amp;issue=&amp;spage=25&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Apron Frock and Coverall,,176646170,Historical Newspapers,," Copyright Tribune Publishing Company Dec 12, 1941"," 467917222 , 6067972 , 53854", article," Dec 12, 1941",, English, English,," Chicago, Ill.","Dec 12, 1941",Chicago Daily Tribune (1923-1963),1941,http://search.proquest.com/docview/176646170?accountid=14496, 31,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Apron+Frock+and+Coverall&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1941-12-12&amp;volume=&amp;issue=&amp;spage=31&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
WOMAN'S FIRE LEAP PROVES NEAR FATAL,,492569388,Historical Newspapers,," Copyright Real Times, Inc. Jan 24, 1942"," 761531762 , 7468102 , 68419", article," Jan 24, 1942",, English, English, 4," Chicago, Ill.","Jan 24, 1942",The Chicago Defender (National edition) (1921-1967),1942,http://search.proquest.com/docview/492569388?accountid=14496, 4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=WOMAN%27S+FIRE+LEAP+PROVES+NEAR+FATAL%3A+TAVERN+OWNER+HEROIC+IN+RESCUE+OF+CHILDREN+FROM+FLAMES&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1942-01-24&amp;volume=&amp;issue=&amp;spage=4&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
