Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
The Shopper's Notebook,Whether you have a family of six for which you cook and bake every day or are a business girl who cooks occasional meals in a kitchenette there are times when you need a really efficient mixer. The one pictured has many of the advantages of those very...,165002324,Historical Newspapers," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Copyright Times Mirror Company Feb 13, 1940"," 408979791 , 5690942 , 53850", article," Feb 13, 1940",0458-3035, English, English, A7," Los Angeles, Calif.","Feb 13, 1940",Los Angeles Times (1923-Current File),1940,http://search.proquest.com/docview/165002324?accountid=14496, A7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=The+Shopper%27s+Notebook%3A+Mixer+Possesses+Cookery+Advantages+for+Any+Size+Family&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1940-02-13&amp;volume=&amp;issue=&amp;spage=A7&amp;au=Bartlett%2C+Maxine&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"""I Take This Man""","BRENDA awakened early on Thursday. She hurriedly made her toast and coffee, flying about the little kitchenette in a loose robe over her blue pajamas. She drank orange juice and was going in to take her bath when the maid came in. Alan Tremaine was coming for dinner, everything must be perfect.",151286883,Historical Newspapers," BY ANNE TEDLOCK BROOKS
BY ANNE TEDLOCK BROOKS"," Copyright The Washington Post Company Feb 20, 1940"," 216355602 , 1944662 , 48614", article," Feb 20, 1940",, English, English,," Washington, D.C.","Feb 20, 1940",The Washington Post (1923-1954),1940,http://search.proquest.com/docview/151286883?accountid=14496, 25,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=%22I+Take+This+Man%22&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1940-02-20&amp;volume=&amp;issue=&amp;spage=25&amp;au=BY+ANNE+TEDLOCK+BROOKS&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
"SCRIPT REJECTED, WRITER ENDS LIFE","With a letter of rejection for his last radio script--""Roll Call""--in his hand, Baxter Pickering, 42 years old, a radio script writer and a master of ceremonies under the name of Dale Baxter, was found dead early yesterday morning in his one-room kitchenette apartment ...",105136444,Historical Newspapers,," Copyright New York Times Company Feb 25, 1940"," 109344107-1 , 1617036 , 43896", article," Feb 25, 1940",0362-4331, English, English,," New York, N.Y.","Feb 25, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105136444?accountid=14496, 13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=SCRIPT+REJECTED%2C+WRITER+ENDS+LIFE%3A+DALE+BAXTER%2C+42%2C+INHALES+GAS+FROM+TUBE+ATTACHED+TO+RANGE+IN+APARTMENT+WIFE+DISCOVERS+TRAGEDY+SHE+SAYS+HE+HAD+DIFFICULTY+IN+RECENT+MONTHS+IN+SELLING+HIS+WORK+FOR+RADIO&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-02-25&amp;volume=&amp;issue=&amp;spage=13&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
EX-WIFE OF EXPERT ON CARDS ENDS LIFE,"Mrs. Elizabeth Merriken Moyse, 39-year-old bridge enthusiast and former wife of Alphonse Moyse Jr., editor of The Bridge World, an Ely Culbertson publication, committed suicide by gas early yesterday morning in her one-room kitchenette apartment at 144 East Fiftyfifth Street, between Lexington and Third Avenues.",105369879,Historical Newspapers,," Copyright New York Times Company May 8, 1940"," 92968685-1 , 1535743 , 43896", article," May 8, 1940",0362-4331, English, English,," New York, N.Y.","May 8, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105369879?accountid=14496, 23,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=EX-WIFE+OF+EXPERT+ON+CARDS+ENDS+LIFE%3A+MRS.+ELIZABETH+MOYSE+SUICIDE+AS+EDITOR+OF+THE+BRIDGE+WORLD+IS+TO+REMARRY&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-05-08&amp;volume=&amp;issue=&amp;spage=23&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
The Shopper's Notebook,"For every size and type of home these days there is a juice extractor that just fits the space and budget requirements. Whether your way of life calls for a huge electric wonder or the tiny hand variety which tucks into purse or suitcase, you can find...",165090503,Historical Newspapers," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Copyright Times Mirror Company May 17, 1940"," 409287831 , 5691882 , 53850", article," May 17, 1940",0458-3035, English, English, A5," Los Angeles, Calif.","May 17, 1940",Los Angeles Times (1923-Current File),1940,http://search.proquest.com/docview/165090503?accountid=14496, A5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=The+Shopper%27s+Notebook%3A+New+Juice+Extractor+Small+Enough+to+Fit+Tiniest+Kitchenette&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1940-05-17&amp;volume=&amp;issue=&amp;spage=A5&amp;au=Bartlett%2C+Maxine&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
PICKETING OF KITCHENETTES,,492634910,Historical Newspapers," Brown, Lambert W
Lambert
Lambert W Brown
Brown
W
Lambert W Brown"," Copyright Real Times, Inc. May 25, 1940"," 746233992 , 7326802 , 68419", letter_to_editor," May 25, 1940",, English, English, 14," Chicago, Ill.","May 25, 1940",The Chicago Defender (National edition) (1921-1967),1940,http://search.proquest.com/docview/492634910?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=PICKETING+OF+KITCHENETTES&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1940-05-25&amp;volume=&amp;issue=&amp;spage=14&amp;au=Brown%2C+Lambert+W&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
Standards For Defense Housing Set,Apartments with windowless rooms or improperly ventilated kitchenettes will not be accepted or inspected by the housing subcommittee of the District Defense Council which next week inaugurates a Defense Housing Registry.,151383943,Historical Newspapers,," Copyright The Washington Post Company Feb 22, 1941"," 239312692 , 2023932 , 48614", article," Feb 22, 1941",, English, English,," Washington, D.C.","Feb 22, 1941",The Washington Post (1923-1954),1941,http://search.proquest.com/docview/151383943?accountid=14496, 15,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Standards+For+Defense+Housing+Set%3A+Requirements+Listed+For+Apartments+And+Rooms+to+Be+Rented+to+Workers&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1941-02-22&amp;volume=&amp;issue=&amp;spage=15&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
ABOVE SUSPICION,"FROM the kitchenette, Carol called, ""You're all packed, Johnny? Everything?""",165148594,Historical Newspapers," Decker, Duane
Duane
Duane Decker
Decker
Duane Decker"," Copyright Times Mirror Company Apr 27, 1941"," 411131611 , 5707472 , 53850", article," Apr 27, 1941",0458-3035, English, English, I4," Los Angeles, Calif.","Apr 27, 1941",Los Angeles Times (1923-Current File),1941,http://search.proquest.com/docview/165148594?accountid=14496, I4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=ABOVE+SUSPICION%3A+SOMETIMES+IT+ALL+DEPENDS+UPON+WHOSE+WIFE+IT+HAPPENS+TO+BE+A+SHORT+STORY+COMPLETE+IN+THIS+ISSUE&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1941-04-27&amp;volume=&amp;issue=&amp;spage=I4&amp;au=Decker%2C+Duane&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
EVERYBODY GOES WHEN the WAGON COMES,"WHEN YOU SEE the cats walk down the avenue with those peg pants and 34-inch draped coats and wide brim hats; when women parade down the streets in house coats and slacks; when you see the boulevards jammed with old broken down cars, and when you see the kitchenette children playing in the streets, it's then, my friends you'll know spring is here...",492700730,Historical Newspapers," NOSEY, OLE
OLE
OLE NOSEY
NOSEY
OLE NOSEY"," Copyright Real Times, Inc. May 17, 1941"," 746513402 , 7327402 , 68419", article," May 17, 1941",, English, English, 13," Chicago, Ill.","May 17, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492700730?accountid=14496, 13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=EVERYBODY+GOES+WHEN+the+WAGON+COMES&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-05-17&amp;volume=&amp;issue=&amp;spage=13&amp;au=NOSEY%2C+OLE&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
KITCHENETTE MANAGER SLAYS HUSBAND,"Mrs. Verna Mae Gant, 38, of 421 East Forty-fifth street manager of a kitchenette apartment building in which she resides, is being held by police this week pending the outcome of an inquest into the death of her husband...",492626516,Historical Newspapers,," Copyright Real Times, Inc. May 24, 1941"," 740947062 , 7289222 , 68419", article," May 24, 1941",, English, English, 13," Chicago, Ill.","May 24, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492626516?accountid=14496, 13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=KITCHENETTE+MANAGER+SLAYS+HUSBAND%3A+SAYS+MATE+TRIED+TO+ASSAULT+HER+IN+HOME&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-05-24&amp;volume=&amp;issue=&amp;spage=13&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
