Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
Racket Buster's Wife,"PEOPLE who turn out these days to listen to Thomas E. Dewey campaigning for the Republican presidential nomination will oftentimes see on the platform a darkeyed young woman, of slight build and unusually pretty.",176490185,Historical Newspapers," Fulton, William
William
William Fulton
Fulton
WILLIAM FULTON"," Copyright Tribune Publishing Company Apr 28, 1940"," 495016992 , 6137002 , 53854", article," Apr 28, 1940",, English, English, h3," Chicago, Ill.","Apr 28, 1940",Chicago Daily Tribune (1923-1963),1940,http://search.proquest.com/docview/176490185?accountid=14496, H3,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=Racket+Buster%27s+Wife%3A+Mrs.+Thomas+E.+Dewey+Lets+Husband+Do+Campaigning&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1940-04-28&amp;volume=&amp;issue=&amp;spage=H3&amp;au=Fulton%2C+William&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Installing Small Kitchens,,105261965,Historical Newspapers,," Copyright New York Times Company Jun 16, 1940"," 121428185 , 1683478 , 43896", article," Jun 16, 1940",0362-4331, English, English,," New York, N.Y.","Jun 16, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105261965?accountid=14496, RE9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=Installing+Small+Kitchens&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-06-16&amp;volume=&amp;issue=&amp;spage=RE9&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Sunset Apartments Front on Ocean,,165135552,Historical Newspapers,," Copyright Times Mirror Company Jun 21, 1940"," 409403691 , 5692232 , 53850", article," Jun 21, 1940",0458-3035, English, English, B6," Los Angeles, Calif.","Jun 21, 1940",Los Angeles Times (1923-Current File),1940,http://search.proquest.com/docview/165135552?accountid=14496, B6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Sunset+Apartments+Front+on+Ocean&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1940-06-21&amp;volume=&amp;issue=&amp;spage=B6&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Everything Normal With These Folks Except They Have No Home,"Life goes on as usual with the Browns, the Thompsons, and the Reeds. Well, that is almost. Except that there's no running water, and they have no protection from the elemerits, and they have no walls to protect them from the curious eyes...",492642961,Historical Newspapers," Waters, Enoc P, Jr
Enoc
Enoc P Waters Jr
Jr
Waters
P
ENOC P WATERS JR"," Copyright Real Times, Inc. Aug 31, 1940"," 746366722 , 7327072 , 68419", article," Aug 31, 1940",, English, English, 6," Chicago, Ill.","Aug 31, 1940",The Chicago Defender (National edition) (1921-1967),1940,http://search.proquest.com/docview/492642961?accountid=14496, 6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Everything+Normal+With+These+Folks+Except+They+Have+No+Home%3A+LIFE+GOES+ON+AS+USUAL--IN+STREET&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1940-08-31&amp;volume=&amp;issue=&amp;spage=6&amp;au=Waters%2C+Enoc+P%2C+Jr&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
COOKERY WITH A TANG...,"STOCKILY-BUILT, candid-faced topranking reliable of stage and screen, Alan Dinchart has a number of extra accomplishments, including cooking which he does in thoroughly masculine fashion and with fame-making results. Also successful as the writer of several plays, he is...",165144023,Historical Newspapers," Turner, Grace
Grace
Grace Turner
Turner
Grace Turner"," Copyright Times Mirror Company Oct 6, 1940"," 410402051 , 5705422 , 53850", article," Oct 6, 1940",0458-3035, English, English, J14," Los Angeles, Calif.","Oct 6, 1940",Los Angeles Times (1923-Current File),1940,http://search.proquest.com/docview/165144023?accountid=14496, J14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=COOKERY+WITH+A+TANG...%3A+ALAN+DINEHART+LETS+US+IN+ON+THE+SECRETS+OF+SOME+FINE+DISHES+THAT+HE+MAKES+FOR+FRIENDS&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1940-10-06&amp;volume=&amp;issue=&amp;spage=J14&amp;au=Turner%2C+Grace&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
SUICIDE'S GAS BLAST INJURES TW0 MEN,"A tenant in the apartment house at 865 First Avenue, in what the police recorded as an apparent sui-- cide, flooded his kitchen with gas last night and caused an explosion that shook the seventeen-story building and caused injury to two employer.",105201946,Historical Newspapers,," Copyright New York Times Company Dec 26, 1940"," 91598130-1 , 1528146 , 43896", article," Dec 26, 1940",0362-4331, English, English,," New York, N.Y.","Dec 26, 1940",New York Times (1923-Current file),1940,http://search.proquest.com/docview/105201946?accountid=14496, 32,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=SUICIDE%27S+GAS+BLAST+INJURES+TW0+MEN%3A+PAUL+RYAN%2C+BELIEVED+A+UTILITY+COMPANY+EXECUTIVE%2C+ENDS+LIFE+IN+1+ST+AVE.+HOME+17-STORY+BUILDING+SHAKEN+WINDOWS+SHATTERED+IN+BEEKMAN+PLACE+SECTION--ELEVATOR+OPERATOR+IS+BURNED&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1940-12-26&amp;volume=&amp;issue=&amp;spage=32&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Wallace Frowns on Power Politics in Americas,"Europe's old balance of power theory in international relations, which has led it up so many dark and bloody alleys, must never be permitted to gain a foothold in the Western Hemisphere; such an imitation of Old World politics by the new would be fatal to the peace and security of this hemisphere, in the opinion of Vice President Henry Agard Wallace.",151361311,Historical Newspapers," By Inez Robb. International News Service Staff Writer
By Inez Robb. International News Service Staff Writer"," Copyright The Washington Post Company Feb 23, 1941"," 239315842 , 2023942 , 48614", article," Feb 23, 1941",, English, English, B7," Washington, D.C.","Feb 23, 1941",The Washington Post (1923-1954),1941,http://search.proquest.com/docview/151361311?accountid=14496, B7,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Wallace+Frowns+on+Power+Politics+in+Americas&amp;title=The+Washington+Post+%281923-1954%29&amp;issn=&amp;date=1941-02-23&amp;volume=&amp;issue=&amp;spage=B7&amp;au=By+Inez+Robb.+International+News+Service+Staff+Writer&amp;isbn=&amp;jtitle=The+Washington+Post+%281923-1954%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
Anniversary,,492661854,Historical Newspapers,," Copyright Real Times, Inc. Mar 8, 1941"," 740904282 , 7289132 , 68419", article," Mar 8, 1941",, English, English, 13," Chicago, Ill.","Mar 8, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492661854?accountid=14496, 13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=Anniversary&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-03-08&amp;volume=&amp;issue=&amp;spage=13&amp;au=&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
EVERYBODY GOES WHEN the WAGON COMES,"THE EXTREME cold weather in Chicago has driven the cats and chicks to cover and the playing is being done in those flats and kitchenettes, but when it warms up you can bet your life that NOSEY will have the gossip ... And remember, dear readers, not to get sore when your name bobs up in this column, because EVERYBODY GOES WHEN THE WAGON COMES ...",492620733,Historical Newspapers," NOSEY, OLE
OLE
OLE NOSEY
NOSEY
OLE NOSEY"," Copyright Real Times, Inc. Mar 22, 1941"," 740913382 , 7289152 , 68419", article," Mar 22, 1941",, English, English, 9," Chicago, Ill.","Mar 22, 1941",The Chicago Defender (National edition) (1921-1967),1941,http://search.proquest.com/docview/492620733?accountid=14496, 9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagodefender&amp;atitle=EVERYBODY+GOES+WHEN+the+WAGON+COMES&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;issn=&amp;date=1941-03-22&amp;volume=&amp;issue=&amp;spage=9&amp;au=NOSEY%2C+OLE&amp;isbn=&amp;jtitle=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Defender
COLUMBIA PROFESSOR FOUND DEAD FROM GAS,,106099210,Historical Newspapers,," Copyright New York Times Company Apr 14, 1941"," 85479974-1 , 1495947 , 43896", article," Apr 14, 1941",0362-4331, English, English,," New York, N.Y.","Apr 14, 1941",New York Times (1923-Current file),1941,http://search.proquest.com/docview/106099210?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=COLUMBIA+PROFESSOR+FOUND+DEAD+FROM+GAS%3A+POLICE+BELIEVE+MARVIN+KRUEGER+COMMITTED+SUICIDE&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1941-04-14&amp;volume=&amp;issue=&amp;spage=14&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
